antecedents,consequents,antecedent support,consequent support,support,confidence,lift
25_34_Male,Movies,0.09854,0.09678,0.01003,0.10178607672011367,1.0517263558598229
65_plus_Female,Fashion,0.07018,0.184,0.01372,0.19549729267597604,1.0624852862824785
35_44_Female,Gaming,0.0972,0.09657,0.01003,0.10318930041152265,1.068544065564074
25_34_Female,Fashion,0.09821,0.184,0.01803,0.18358619285205172,0.9977510481089767
35_44_Male,Fashion,0.09814,0.184,0.0176,0.17933564295903812,0.9746502334730333
55_64_Male,Fashion,0.09759,0.184,0.01784,0.1828056153294395,0.9935087789643452
55_64_Female,Fashion,0.09633,0.184,0.01821,0.18903768296480847,1.0273787117652635
65_plus_Male,Fashion,0.06955,0.184,0.01241,0.17843278217109992,0.9697433813646735
35_44_Male,Cooking,0.09814,0.0974,0.01005,0.102404727939678,1.0513832437338604
35_44_Female,Fashion,0.0972,0.184,0.01735,0.17849794238683128,0.9700975129719092
25_34_Male,Fashion,0.09854,0.184,0.019,0.1928151004668155,1.0479081547109539
45_54_Female,Fashion,0.09786,0.184,0.01778,0.18168812589413447,0.9874354668159482
45_54_Male,Fashion,0.09748,0.184,0.01744,0.17890849405006157,0.9723287720112042
